tag,tool,line,component,flux_1e17,fwhm_kms,ew_a,center_a,flux_unit
04592660180,gelato,SII6732,narrow,217.85439179291328,130.0000000000003,nan,nan,1e-17
04592660180,gelato,OII3727,narrow,390.16271104937897,130.0,nan,nan,1e-17
04592660180,gleam,OII3727,total,42.76268768310547,424.91670880905497,0.9851322174072266,3728.48,1e-17
04592660180,gleam,Hb4861,total,1048.6986083984375,2698.752657435499,32.6786994934082,4862.68,1e-17
04592660180,gleam,OIII4959,total,35.14259338378906,367.3467363836486,1.1123887300491333,4960.3,1e-17
04592660180,gleam,OIII5007,total,325.929443359375,714.8520862279885,11.711006164550781,5008.24,1e-17
04592660180,gleam,Ha6563,total,3986.26318359375,2285.062021088058,126.34818267822266,6564.6,1e-17
04592660180,gleam,SII6718,total,20.49715805053711,208.83855026638562,0.9844829440116882,6718.29,1e-17
04592939295,pyqsofit,Ha6563,broad,7228.329769915856,3172.9302559154403,270.3967358934186,nan,1e-17
04592939295,pyqsofit,Hb4861,broad,4301.247943290616,3566.5453850531503,133.89303470059937,nan,1e-17
04592939295,pyqsofit,OIII5007,outflow,194.80303402817182,nan,nan,5008.91848562485,1e-17
04592939295,pyqsofit,OIII5007,narrow,313.19479591830844,nan,nan,5005.336190300598,1e-17
04592939295,pyqsofit,OIII4959,outflow,327.112168411647,nan,nan,4930.966133695474,1e-17
04592939295,pyqsofit,OIII4959,narrow,1.124262085637239,nan,nan,4927.439588598867,1e-17
04592939295,pyqsofit,Ha6563,narrow,4.266718949062084,nan,nan,6531.215185993944,1e-17
04592939295,pyqsofit,NII6585,narrow,744.8598581236342,nan,nan,6564.780144934514,1e-17
04592939295,pyqsofit,SII6718,narrow,0.06860398575657466,nan,nan,6697.375018162306,1e-17
04592939295,pyqsofit,SII6732,narrow,0.06875082746090239,nan,nan,6711.710248853981,1e-17
04592939295,badass,Ha6563,broad,1251.0208053448878,nan,nan,nan,1e-17
04592939295,badass,Ha6563,narrow,1380.2169798966497,nan,nan,nan,1e-17
04592939295,badass,Ha6563,outflow,6186.441325937019,nan,nan,nan,1e-17
04592939295,badass,Hb4861,broad,1786.2247948176955,nan,nan,nan,1e-17
04592939295,badass,Hb4861,narrow,0.0,nan,nan,nan,1e-17
04592939295,badass,Hb4861,outflow,1786.2247948176955,nan,nan,nan,1e-17
04592939295,badass,OIII5007,broad,0.0,nan,nan,nan,1e-17
04592939295,badass,OIII5007,narrow,240.540305059636,nan,nan,nan,1e-17
04592939295,badass,OIII5007,outflow,379.66215379361466,nan,nan,nan,1e-17
04592939295,badass,OIII4959,broad,780.7831289013066,nan,nan,nan,1e-17
04592939295,badass,OIII4959,narrow,0.0,nan,nan,nan,1e-17
04592939295,badass,OIII4959,outflow,780.7831289013066,nan,nan,nan,1e-17
04592939295,badass,OII3727,broad,0.0,nan,nan,nan,1e-17
04592939295,badass,OII3727,narrow,0.0,nan,nan,nan,1e-17
04592939295,fantasy_agn,OIII5007,broad,707.21280926057,nan,nan,nan,1e-17
04592939295,fantasy_agn,OIII5007,narrow,0.0,nan,nan,nan,1e-17
04592939295,fantasy_agn,Hb4861,broad,1727.2343796670111,nan,nan,nan,1e-17
04592939295,fantasy_agn,Hb4861,narrow,0.0,nan,nan,nan,1e-17
04592939295,fantasy_agn,Ha6563,broad,5183.396139311675,nan,nan,nan,1e-17
04592939295,fantasy_agn,Ha6563,narrow,835.354403658283,nan,nan,nan,1e-17
04592939295,gelato,OIII5007,narrow,56.995727350897766,130.0,nan,nan,1e-17
04592939295,gelato,OIII4959,narrow,19.948504572814215,130.0,nan,nan,1e-17
04592939295,gelato,Ha6563,broad,-329.7113816787806,130.0,nan,nan,1e-17
04592939295,gelato,Hb4861,broad,-115.62300737923147,130.0,nan,nan,1e-17
04592939295,gelato,NII6585,narrow,-229.98776850789667,130.0,nan,nan,1e-17
04592939295,gelato,SII6718,narrow,-65.79498650251942,130.0,nan,nan,1e-17
04592939295,gelato,SII6732,narrow,-81.18352164537465,130.0,nan,nan,1e-17
04592939295,gelato,OII3727,narrow,118.37232039415517,130.0,nan,nan,1e-17
04592939295,gleam,OII3727,total,68.75607299804688,447.397876666997,1.1700499057769775,3728.48,1e-17
04592939295,gleam,Hb4861,total,1359.53125,2672.5606123096063,31.624170303344727,4862.68,1e-17
04592939295,gleam,OIII4959,total,59.29736328125,310.9905548865737,1.4056445360183716,4960.3,1e-17
04592939295,gleam,OIII5007,total,350.3005676269531,441.0931055611616,9.313189506530762,5008.24,1e-17
04592939295,gleam,Ha6563,total,5089.44775390625,2356.4314094643846,128.15040588378906,6564.6,1e-17
04592939295,gleam,NII6585,total,103.35035705566406,294.20997209333933,2.602323532104492,6585.27,1e-17
04592939295,gleam,SII6718,total,28.425838470458984,298.92107225236845,0.9504607319831848,6718.29,1e-17
04592975881,pyqsofit,Ha6563,broad,9599.494217456788,4329.672718818517,428.9948911619007,nan,1e-17
04592975881,pyqsofit,Hb4861,broad,3351.100011958792,4821.260954926837,115.69332285962173,nan,1e-17
04592975881,pyqsofit,OIII5007,outflow,246.26740348826607,nan,nan,4960.40675321819,1e-17
04592975881,pyqsofit,OIII5007,narrow,734.7530370974782,nan,nan,5007.736667699853,1e-17
04592975881,pyqsofit,OIII4959,outflow,1.2727424682588515,nan,nan,4883.209375371166,1e-17
04592975881,pyqsofit,OIII4959,narrow,0.39706886751867,nan,nan,4929.80270806156,1e-17
04592975881,pyqsofit,Ha6563,narrow,503.90929229284933,nan,nan,6558.520281172799,1e-17
04592975881,pyqsofit,NII6585,narrow,3.6568788557378844,nan,nan,6592.225565362568,1e-17
